epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6623,1.46622,2.38522,1.2096,0.55576,0.63113,0.58707,0.35344,1.35963,1.33232,1.14019,0.00332341,0.00332341,0.00332341
2,91.2969,1.38235,1.39575,1.12096,0.65337,0.62105,0.66354,0.40303,1.33758,1.23408,1.08507,0.00663478,0.00663478,0.00663478
3,137.474,1.4225,1.36714,1.14369,0.58203,0.59035,0.6111,0.34709,1.45747,1.30317,1.15612,0.00992414,0.00992414,0.00992414
4,185.363,1.45476,1.37472,1.16383,0.59079,0.65757,0.64607,0.35748,1.49841,1.20952,1.20283,0.009901,0.009901,0.009901
5,233.392,1.43156,1.27365,1.16256,0.5809,0.59239,0.60293,0.34625,1.4489,1.50168,1.17232,0.009868,0.009868,0.009868
6,282.516,1.42443,1.23623,1.1669,0.60539,0.64486,0.66522,0.39213,1.40701,1.19373,1.19038,0.009835,0.009835,0.009835
7,333.453,1.42364,1.22391,1.16801,0.68373,0.67477,0.71462,0.42816,1.38652,1.08663,1.16352,0.009802,0.009802,0.009802
8,384.905,1.41245,1.18219,1.16295,0.59343,0.64081,0.63789,0.38913,1.37615,1.15206,1.16843,0.009769,0.009769,0.009769
9,437.895,1.40279,1.15614,1.16268,0.70336,0.7222,0.74082,0.45376,1.34904,1.03068,1.15497,0.009736,0.009736,0.009736
10,491.98,1.37449,1.13591,1.14862,0.6722,0.70542,0.72081,0.44434,1.34776,1.03863,1.14721,0.009703,0.009703,0.009703
11,545.808,1.37822,1.10405,1.14948,0.69912,0.72144,0.74166,0.45783,1.32869,0.97843,1.12801,0.00967,0.00967,0.00967
12,599.599,1.3853,1.09469,1.14778,0.71245,0.73205,0.75935,0.46919,1.33241,0.95958,1.12519,0.009637,0.009637,0.009637
13,655.201,1.35986,1.05807,1.13726,0.69998,0.71799,0.74114,0.44793,1.35791,0.99577,1.1496,0.009604,0.009604,0.009604
14,710.155,1.36394,1.05888,1.14173,0.71087,0.74108,0.75676,0.46782,1.32243,0.96631,1.1305,0.009571,0.009571,0.009571
